ID,Rg/Nr,Desc
1,Rg,L
2,Rg,C
3,Rg,R
4,Rg,L+C
5,Rg,R+C
6,Rg,R+L
7,Rg,L|C
8,Rg,R|L
9,Rg,R|C
10,Rg,R+L+C
11,Rg,L+(R|L)
12,Rg,L|(R+L)
13,Rg,C|(R+C)
14,Rg,C+(R|C)
15,Rg,R+(R|L)
16,Rg,R|(R+L)
17,Rg,R+(R|C)
18,Rg,R|(R+C)
19,Rg,R|C|L
20,Rg,R+C+(R|C)
21,Rg,R+(C|(R+C))
22,Rg,C+(R|(R+C))
23,Rg,(R+C)|(R+C)
24,Rg,C+(R|(R+L))
25,Rg,R+C+(R|L)
26,Rg,C+(R|L)
27,Rg,R+(L|C)
28,Rg,R+L+(R|L)
29,Rg,R+(L|(R+L))
30,Rg,L+(R|(R+L))
31,Rg,(R+L)|(R+L)
32,Rg,R+L+(R|C)
33,Rg,L+(R|(R+C))
34,Rg,L+(R|C)
35,Rg,R|(R+L)|L
36,Rg,R|(L+R|L))
37,Rg,L|(R+(R|L))
38,Rg,(R|L)|(R|L)
39,Rg,R|(R+C)|L
40,Rg,L|R+(R|C)
41,Rg,L|(R+C)
42,Rg,R|(C+L)
43,Rg,R|(R+C)|C
44,Rg,R|(C+(R|C))
45,Rg,C|(R+(R|C))
46,Rg,(R|C)+(R|C)
47,Rg,R|(R+L)|C
48,Rg,C|(R+(R|L))
49,Rg,(R+C)|C
50,Rg,R+(R|L|(R+L))
51,Rg,R+(R|(L+(R|L)))
52,Rg,R+(L|R+(R|L))
53,Rg,R+(R|L)+(R|C)
54,Rg,R|(R+L+(R|L))
55,Rg,R|(R+(L|(R+L)))
56,Rg,R|(L+(R|(R+L)))
57,Rg,R|(R+L)|(R+L)
58,Rg,(R+L)|(R+(R|L)))
59,Rg,(R|L)+(R|(R+L)))
60,Rg,<(L&R)@(R&R)/L>
61,Rg,<(L&R)@(R&L)/R>
62,Rg,R|(L+(R|C))
63,Rg,R+(L|(R+C))
64,Rg,R+(R|(L+(R|C)))
65,Rg,R|(L+R+(R|C))
66,Rg,R|(L+(R|(R+C)))
67,Rg,R|(R+(L|(R+C)))
68,Rg,R+(R|(R+C)|L)
69,Rg,R+(L|(R+(R|C)))
70,Nr,<(L&R)@(R&R)/C>
71,Rg,R+(R|(L+C))
72,Rg,R|(R+L+C)
73,Rg,R+(R|L|C)
74,Rg,R|(R+(L|C))
75,Rg,R|(R+C+(R|C)))
76,Rg,R|(R+(C|(R+C)))
77,Rg,R|(C+(R|(R+C)))
78,Rg,R|(R+C)|(C+R)
79,Rg,R+(R|(R+C)|C)
80,Rg,R+(R|(C+(R|C)))
81,Rg,R+(C|(R+(R|C)))
82,Rg,R+(R|C)+(R|C)
83,Rg,(R|C)+(R|(R+C))
84,Rg,(C+R)|(R+(R|C))
85,Rg,<(R&R)@(C&R)/C>
86,Rg,<(C&R)@(R&C)/R>
87,Rg,R+(C|(R+L))
88,Rg,R|(C+(R|L))
89,Rg,R+(R|(C+(R|L)))
90,Rg,R|(C+(R|(R+L)))
91,Rg,R|(R+C+(R|L))
92,Rg,R|(R+(C|(R+L)))
93,Rg,R+(R|(R+L)|C)
94,Rg,R+(C|(R+(R|L)))
95,Nr,<(C&R)@(R&R)/L>
96,Rg,(R|C)+(R|L)
97,Rg,(R+C)|(R+L)
98,Rg,R+(R|C)+(R|L)
99,Rg,(R|L)+(R|(R+C))
100,Rg,(R|C)+(R|(R+L))
101,Rg,R|(R+L)|(R+C)
102,Rg,(R+L)|(R+(R|C))
103,Rg,(C+R)|(R+(R|L))
104,Rg,R+((R+L)|(R+C))
105,Rg,<(R&L)@(R&C)/R>
106,Rg,R|((R|C)+(R|L))
107,Rg,<(C&L)@(R&R)/R>
108,Rg,<(C&R)@(R&L)/R>
